hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
010002,99350.05357142855,12418.756696428569,2507.01000976562,1,8,1,2,178.3048815694205,0,0,Rural
010063,147027,36756.75,2507.01000976562,1,4,5,9,527.7426811583799,3600,0.02448529861862107,Rural
010083,141412.21428571432,35353.05357142858,2507.01000976562,1,4,4,8,507.5888178068397,1800,0.012728744890191842,Rural
010086,92131.78571428571,30710.595238095237,2507.01000976562,1,3,4,8,440.93375695408747,1560,0.01693226705534386,Rural
010144,116236.52857142856,19372.75476190476,2507.01000976562,1,6,3,5,278.1483547775956,0,0,Rural
013001,64952.642857142906,21650.88095238097,2507.01000976562,1,3,3,6,310.8570252606781,1800,0.027712498226730005,Rural
013055,142272.07142857142,23712.011904761905,2507.01000976562,1,6,3,6,340.4501414917932,2400,0.016869087347230582,Rural
013083,103542.01785714287,25885.504464285717,2507.01000976562,1,4,4,7,371.6565128614297,3000,0.028973744785803827,Rural
013233,143616.42857142855,71808.21428571428,2507.01000976562,1,2,5,10,1031.001368084456,0,0,Rural
029191,105041.0357142857,26260.258928571424,2507.01000976562,1,4,4,7,377.03712800717057,720,0.006854464020693955,Rural
051026,95016.14285714287,23754.035714285717,2946.43994140625,1,4,3,6,341.0535070752734,600,0.006314716446678984,Rural
051120,459300.5,65614.35714285714,2946.43994140625,1,7,5,10,942.0717762330708,1440,0.00313520233485485,Rural
061165,276179.64285714284,16245.861344537814,2946.43994140625,1,17,2,4,233.25333234558735,0,0,Rural
067221,153958.98214285713,21994.14030612245,2946.43994140625,1,7,3,6,315.78544280782853,2376,0.015432681919105774,Rural
101135,115658.35714285716,19276.39285714286,2946.43994140625,1,6,3,5,276.7648186929153,0,0,Rural
106049,244180.99999999994,61045.249999999985,2946.43994140625,1,4,5,10,876.4698703498972,1320,0.005405826006118414,Rural
106072,189124.64285714284,47281.16071428571,2946.43994140625,1,4,5,9,678.8490963873955,6000,0.031725109479953696,Rural
121028,337394.28571428574,33739.42857142857,2946.43994140625,1,10,4,8,484.42086133941007,2100,0.006224171804078314,Rural
121038,116636.85714285714,29159.214285714286,2946.43994140625,1,4,4,8,418.6594823430959,3000,0.02572085765587452,Rural
121069,189104.78571428574,37820.95714285715,2946.43994140625,1,5,5,9,543.0222564984012,0,0,Rural
121146,242998.92857142855,80999.64285714286,2946.43994140625,1,3,5,10,1162.969215023085,6000,0.024691466893593007,Rural
121176,232669.00000000003,25852.111111111113,2946.43994140625,1,9,4,7,371.17706084956154,2100,0.009025697450025572,Rural
122071,260857.50000000003,37265.357142857145,2946.43994140625,1,7,5,9,535.0451139694345,2820,0.010810499985624333,Rural
122078,117315.28571428572,39105.095238095244,2946.43994140625,1,3,5,9,561.4595362186858,0,0,Rural
122089,122407.14285714286,30601.785714285714,2946.43994140625,1,4,4,8,439.3715015906289,0,0,Rural
122116,289942.71428571426,24161.892857142855,2946.43994140625,1,12,3,6,346.9094008118258,3600,0.012416245770716285,Rural
122207,150422.42857142864,18802.80357142858,2946.43994140625,1,8,3,5,269.9651620472452,0,0,Rural
