hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD,expenditures,share_ely,Urban
1,98352,98352,1381.1328,1,1,5,9,3028.17204963207,18000,0.18301610541727673,Urban
2,190596,47649,1381.1328,1,4,4,7,5868.284122048093,36000,0.18888119372914436,Urban
3,313128,62625.6,1381.1328,1,5,4,8,9640.937220973552,18000,0.05748447919061853,Urban
4,63960,63960,1381.1328,1,1,4,8,1969.2724529696113,0,0,Urban
5,279120,139560,1381.1328,1,2,5,10,8593.860648418979,25200,0.09028374892519346,Urban
6,253392,84464,1381.1328,1,3,5,9,7801.7180331906775,18000,0.07103618109490434,Urban
7,355260,88815,1381.1328,1,4,5,9,10938.14464731057,48000,0.13511231210944097,Urban
8,441804,88360.8,1381.1328,1,5,5,9,13602.758705625174,18000,0.040742048510199094,Urban
9,269172,67293,1381.1328,1,4,4,8,8287.57043012408,48000,0.178324640007133,Urban
10,286908,71727,1381.1328,1,4,4,8,8833.646356107023,18000,0.06273788113262788,Urban
11,378840,63140,1381.1328,1,6,4,8,11664.15222143539,24000,0.06335128286347799,Urban
12,350904,87726,1381.1328,1,4,5,9,10804.027217586749,24000,0.06839477463921756,Urban
13,222684,55671,1381.1328,1,4,4,8,6856.245574063241,22800,0.1023872393166999,Urban
14,144720,72360,1196.3334,1,2,4,8,4455.802210659195,6000,0.04145936981757877,Urban
15,170208,85104,1196.3334,1,2,5,9,5240.555435820069,7200,0.04230118443316413,Urban
16,96996,96996,1196.3334,1,1,5,9,2986.421995751101,7560,0.07794135840653223,Urban
17,93252,46626,1196.3334,1,2,4,7,2871.147510699221,0,0,Urban
18,251808,62952,1196.3334,1,4,4,8,7752.948058745652,27600,0.10960731986275257,Urban
19,175044,58348,1196.3334,1,3,4,8,5389.451645678747,20400,0.1165421265510386,Urban
20,208800,104400,1196.3334,1,2,5,9,6428.769358662521,36000,0.1724137931034483,Urban
21,14892,14892,1196.3334,1,1,2,3,458.5116536839189,1800,0.12087026591458501,Urban
22,89916,44958,1035.8496,1,2,4,7,2768.4349887619696,4800,0.05338315761377285,Urban
23,140196,46732,1035.8496,1,3,4,7,4316.512207888174,0,0,Urban
24,172896,43224,1035.8496,1,4,4,7,5323.316604575264,18000,0.10410882842865075,Urban
25,64608,64608,1035.8496,1,1,4,8,1989.2238061516673,12000,0.18573551263001487,Urban
26,289788,57957.6,1035.8496,1,5,4,8,8922.319036916162,26400,0.09110108079009482,Urban
27,108852,108852,1035.8496,1,1,5,9,3351.457865082053,7200,0.0661448572373498,Urban
28,219432,73144,1035.8496,1,3,4,8,6756.11933864959,24000,0.10937329104232746,Urban
29,212844,53211,1035.8496,1,4,4,7,6553.280581298685,24000,0.11275864013080002,Urban
30,85548,85548,1035.8496,1,1,5,9,2633.9480895347765,3600,0.0420816383784542,Urban
31,384864,128288,1035.8496,1,3,5,10,11849.625912127838,24000,0.062359690695934146,Urban
32,110796,110796,1035.8496,1,1,5,9,3411.3119246282217,3600,0.03249214773096502,Urban
33,110448,55224,1035.8496,1,2,4,8,3400.5973090304506,9600,0.0869187309865276,Urban
34,135708,33927,991.7709,1,4,3,6,4178.330613627267,18000,0.13263772216818462,Urban
35,209076,104538,991.7709,1,2,5,9,6437.267157240063,6000,0.028697698444584745,Urban
36,171612,57204,991.7709,1,3,4,8,5283.783367714524,14400,0.08391021606880637,Urban
37,268260,67065,991.7709,1,4,4,8,8259.490747867854,12000,0.04473272198613286,Urban
38,294048,49008,991.7709,1,6,4,7,9053.480710613012,36000,0.12242899118511263,Urban
39,217632,72544,991.7709,1,3,4,8,6700.698913143878,11760,0.05403617115130128,Urban
40,118452,29613,991.7709,1,4,3,5,3647.0334677791807,30000,0.25326714618579677,Urban
41,112092,37364,991.7709,1,3,3,6,3451.2146309923337,21600,0.19269885451236485,Urban
42,404748,101187,991.7709,1,4,5,9,12461.836879214263,21960,0.05425598149959975,Urban
