hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
10802635813,129390,43130,1559,1,3,5,10,2070.7701171499903,2050,0.0158435736919391,Urban
10802635814,86817,21704.25,1559,1,4,4,8,1042.07077011715,3360,0.03870209751546356,Urban
10802635815,55250,27625,1559,1,2,5,9,1326.3395429229884,1560,0.02823529411764706,Urban
108026412013,54027,18009,1810,1,3,4,7,864.653351257922,1640,0.030355192773983377,Urban
108026412014,91060,30353.333333333332,1810,1,3,5,9,1457.3330772677805,2028,0.022271030090050516,Urban
108026412015,89238,22309.5,1810,1,4,4,8,1071.1302093335894,2400,0.02689437235258522,Urban
108026471813,118997,29749.25,1628,1,4,5,9,1428.3296523910121,4200,0.03529500743716228,Urban
108026471815,102862,25715.5,1628,1,4,4,8,1234.6600729786826,4000,0.03888705255585153,Urban
108026532113,104745,26186.25,1597,1,4,5,9,1257.2618590359132,3000,0.028640985249892597,Urban
108026532114,72665,18166.25,1597,1,4,4,7,872.2032840407144,2040,0.02807403839537604,Urban
108026532115,61130,30565,1597,1,2,5,9,1467.4956788937968,1800,0.029445444135449042,Urban
10802665314,18418,9209,1550,2,2,2,3,442.1451891684271,600,0.03257682701704854,Rural
10802665319,73632,18408,1550,2,4,4,7,883.810255425389,1800,0.024445893089960886,Rural
10802665320,108554,21710.8,1550,2,5,4,8,1042.3852506241597,2160,0.019897930983657903,Rural
10802668313,112804,28201,1245,1,4,5,9,1353.9946226233917,1800,0.015956880961668026,Urban
10802668314,133897,44632.333333333336,1245,1,3,5,10,2142.9005825491327,4200,0.03136739434042585,Urban
10822710713,60920,20306.666666666668,1487,2,3,4,7,974.9695922156072,1800,0.02954694681549573,Rural
10832785715,35221,7044.2,1564,2,5,1,2,338.20818129441136,1500,0.042588228613611195,Rural
108629081213,62226,15556.5,1588,1,4,3,6,746.9032072210485,3100,0.04981840388262141,Urban
108629081214,18726,9363,1588,1,2,2,3,449.5390820049933,600,0.03204101249599487,Urban
10862911920,54245,9040.833333333334,1667,2,6,2,3,434.0711222072851,120,0.0022121854548806342,Rural
108629231213,45635,9127,1622,2,5,2,3,438.20818129441136,1200,0.02629560644242358,Rural
10862932513,73247,18311.75,1491,2,4,4,7,879.1890724025351,600,0.008191461766352206,Rural
10862932514,54417,18139,1491,2,3,4,7,870.8949491069714,1440,0.026462318760681405,Rural
108629381015,11974,2394.8,1594,2,5,1,1,114.97983483771847,180,0.015032570569567395,Rural
108729892613,19624,4906,1550,2,4,1,1,235.5483003648934,640,0.03261312678353037,Rural
10883001214,60703,15175.75,1741,1,4,3,6,728.622527367006,2000,0.03294730079238258,Urban
10883001215,66230,16557.5,1741,1,4,3,6,794.9635106587286,1500,0.02264834667069304,Urban
108930551413,71762,8970.25,1572,1,8,2,3,430.68225465719223,1920,0.026755107159778156,Urban
108930551414,232222,77407.33333333333,1572,1,3,5,10,3716.5034248767683,6000,0.025837345298895024,Urban
108930551415,88468,22117,1572,1,4,4,8,1061.8878432878817,3600,0.04069267983903784,Urban
10893079119,63847,15961.75,1517,2,4,3,6,766.3601882081813,1440,0.02255391796012342,Rural
10893079120,33606,8401.5,1517,2,4,2,3,403.37526406760134,1152,0.03427959292983396,Rural
111013203314,19836,4959,1018,1,4,1,1,238.0929517956597,480,0.024198427102238355,Urban
1116313,146453,36613.25,4824,1,4,5,10,1757.8860188208182,9600,0.06555003994455559,Urban
1116314,198496,49624,4824,1,4,5,10,2382.561935855579,6000,0.030227309366435594,Urban
1116315,260705,52141,4824,1,5,5,10,2503.408872671404,7000,0.026850271379528588,Urban
11221913,192759,32126.5,4570,1,6,5,9,1542.466871519109,5000,0.025939126058964822,Urban
11221914,159706,39926.5,4570,1,4,5,10,1916.9627424620703,4800,0.030055226478654527,Urban
11221919,141898,35474.5,4570,1,4,5,9,1703.212022277703,4500,0.031712920548563055,Urban
11282514,179306,35861.2,3860,1,5,5,9,1721.7783752640676,6000,0.03346234928000179,Urban
11282515,197853,49463.25,3860,1,4,5,10,2374.8439600537736,9600,0.04852087155615533,Urban
11282520,250531,83510.33333333333,3860,1,3,5,10,4009.5224377440622,4500,0.01796184903265464,Urban
11342513,213545,35590.833333333336,4423,1,6,5,9,1708.79745214775,4920,0.023039640356833455,Urban
11342514,263996,87998.66666666667,4423,1,3,5,10,4225.017604506754,4200,0.015909331959575144,Urban
11342515,174909,34981.8,4423,1,5,5,9,1679.556366429806,4200,0.024012486492976347,Urban
114813,160969,53656.333333333336,2108,1,3,5,10,2576.163497855451,6500,0.04038044592437053,Urban
114815,374371,74874.2,2108,1,5,5,10,3594.8818897637793,18000,0.04808064727235817,Urban
114819,430844,86168.8,2108,1,5,5,10,4137.161513347417,18500,0.042938975592093656,Urban
1163821013,85763,10720.375,4713,2,8,2,4,514.7097657000193,4800,0.055968191411214625,Rural
1163821014,52640,13160,4713,2,4,3,5,631.8417514883811,2400,0.04559270516717325,Rural
116418813,55309,13827.25,4903,2,4,3,5,663.8779527559055,3900,0.07051293641179555,Rural
116418819,117876,16839.428571428572,4903,2,7,3,6,808.4995473126835,3600,0.030540568054565814,Rural
1172213,151672,50557.333333333336,4417,1,3,5,10,2427.373407592344,7200,0.04747085816762488,Urban
1172215,191497,47874.25,4417,1,4,5,10,2298.552429421932,6600,0.03446529188446817,Urban
1172219,110438,55219,4417,1,2,5,10,2651.190704820434,3000,0.027164562922182584,Urban
1174542713,89097,29699,3485,1,3,5,9,1425.9170347608988,4000,0.04489488983916406,Urban
1174542715,62269,15567.25,3485,1,4,3,6,747.4193393508739,3360,0.0539594340683165,Urban
117463115,94177,23544.25,4209,2,4,4,8,1130.4133858267717,2400,0.02548392919715005,Rural
